권역코드*,우편번호*
S04,15819
S54,16403
S40,16609
S56,6361
S36,16606
S10,6922
S37,6021
S05,8769
S41,16978
S04,16347
S14,6757
S12,16261
S54,12991
S41,14088
S55,13443
S36,13138
S14,6258
S51,16401
S40,12910
S33,16572
S36,16232
S31,6196
S35,14128
S38,16298
S55,16822
S02,13360
S31,16039
S15,6607
S51,8856
S32,16526
S51,5673
S38,6353
S38,5713
S56,5738
S52,14120
S59,12751
S15,13120
S03,6547
S14,17070
S56,16688
S52,13634
S56,13909
S32,8812
S12,16620
S33,13597
S10,5228
S55,6690
S55,5739
S39,13434
S14,6542
S37,16065
S61,6181
S56,14116
S53,6701
S40,16929
S57,13834
S60,6915
S33,6163
S32,5638
S54,6091
S07,6367
S09,8735
S51,13463
S32,16564
S33,16824
S55,6693
S05,6234
S07,6523
S56,6169
S35,13612
S32,6912
S02,16828
S33,7032
S57,13125
S02,16400
S40,6936
S61,16430
S56,13980
S55,16005
S13,16563
S14,13964
S55,16889
S37,13914
S58,6141
S58,16467
S33,13150
S53,8815
S15,16092
S55,6362
S40,16605
S61,5611
S57,5347
S09,13321
S57,13389
S04,8700
S36,16251
S33,13438
S09,13348
S02,6322
S05,6800
S56,6057
S07,16664
S12,5332
S14,13903
S36,5284
S53,6503
S40,16527
S55,15840
S58,6756
S36,15805
S34,6568
S14,14032
S32,16334
S02,16432
S34,16214
S14,16614
S60,13350
S02,13958
S41,5308
S32,13932
S57,5734
S33,13112
S05,16615
S09,6118
S12,6989
S10,5369
S03,5413
S14,16049
S09,6904
S59,16944
S12,8708
S51,14037
S33,6724
S53,13310
S34,16000
S32,6246
S32,5362
S58,8784
S02,5624
S54,13420
S57,8846
S55,6274
S61,6999
S12,6129
S11,5359
S15,16344
S52,13570
S15,16468
S01,16419
S02,5604
S40,5805
S02,16025
S09,18486
S34,5813
S09,5589
S03,16503
S02,5225
S37,6183
S14,5696
S31,5535
S34,13961
S40,6578
S40,13277
S40,6671
S10,6184
S51,16933
S04,6804
S61,6144
S31,6278
S13,14058
S56,16875
S07,6376
S37,15838
S09,5324
S03,13241
S55,16037
S53,16341
S52,5698
S01,16262
S59,6151
S10,13525
S10,16047
S51,15848
S35,8725
S14,18384
S31,6176
S10,5316
S15,6950
S38,16651
S10,12922
S02,5841
S55,16303
S09,6934
S02,16632
S02,13467
S55,14057
S15,6905
S12,13338
S37,13263
S55,14048
S56,12756
S37,5559
S53,12990
S52,5254
S53,5212
S09,16054
S55,6556
S56,16335
S39,13320
S37,16818
S11,13819
S55,16897
S51,17104
S56,6098
S34,5306
S37,6537
S32,6262
S12,6660
S14,17097
S05,13198
S10,13640
S14,13810
S52,13193
S58,5627
S10,16411
S55,16810
S37,6619
S59,7035
S14,16307
S59,13129
S08,13623
S12,15887
S37,8837
S04,7024
S37,17013
S56,13952
S31,8823
S34,13904
S37,16402
S39,5786
S15,16441
S32,15866
S54,13483
S38,16028
S12,15822
S02,13485
S41,16859
S56,17015
S36,8777
S34,16396
S55,13541
S03,13965
S12,6339
S36,16867
S39,5214
S54,5597
S57,8766
S34,16247
S37,5767
S40,5408
S55,5520
S11,8746
S61,14076
S12,6324
S04,6940
S37,5227
S55,5569
S35,16912
S57,5364
S12,13495
S56,6112
S40,13466
S14,6705
S31,8748
S35,17001
S37,16640
S41,14017
S33,13288
S56,12750
S36,6715
S02,6728
S51,18478
S02,6280
S03,13208
S32,12775
S57,6595
S54,13949
S32,5531
S36,6192
S31,6740
S35,6340
S11,5722
S03,17068
S31,16052
S51,14034
S32,13270
S53,5409
S53,16422
S14,5259
S34,8782
S60,16528
S35,13553
S02,5625
S54,5341
S10,14018
S58,6646
S32,6769
S40,16973
S52,13239
S51,6803
S61,5264
S14,6221
S40,6558
S38,14098
S40,13456
S56,6733
S36,16279
S11,18382
S37,16287
S38,5223
S54,14073
S54,13168
S04,5689
S14,5630
S53,7046
S36,5342
S55,16291
S03,13972
S14,13494
S02,16924
S31,5551
S12,16945
S55,13104
S55,14012
S57,16817
S08,5641
S58,13300
S36,16931
S15,18446
S36,5396
S60,13237
S12,12755
S36,13306
S01,13604
S09,13257
S05,5647
S33,17008
S52,16903
S07,13251
S33,6995
S10,16675
S34,6948
S35,5666
S51,16531
S32,16533
S54,5322
S41,6522
S07,15828
S37,7005
S10,16530
S55,13474
S56,6670
S02,13614
S35,6363
S51,14078
S52,13404
S55,8847
S04,13636
S56,13931
S34,16839
S12,14095
S37,16955
S61,5823
S07,15825
S56,6010
S08,16345
S52,16336
S56,8824
S09,6717
S53,13638
S52,16947
S53,5853
S15,13490
S08,6342
S07,13299
S51,17065
